L_CLOSED_CAPTION_TEXT_STYLE,29,TV,As Broadcast,Playbill,Newsprint,Computer,Modern,Casual,Script,Capitals,,,,
,29es,,Según Difusión,Cartel,Prensa,Computadora,Moderno,Ocasional,Escritura,Mayúsculas,,,,
,29fr,,Comme Diffusé,Affiche de Théâtre,Journal,Ordinateur,Moderne,Décontracté,Script,Majuscules,,,,
L_CLOSED_CAPTION_TEXT_SIZE,30,TV,As Broadcast,Small,Medium,Large,,,,,,,,
,30es,,Según Difusión,Pequeño,Medio,Grande,,,,,,,,
,30fr,,Comme Diffusé,Petit,Moyen,Grand,,,,,,,,
L_CLOSED_CAPTION_COLORS,31,TV,As Broadcast,Black,White,Green,Blue,Red,Cyan,Yellow,Magenta,,,
,31es,,Según Difusión,Negro,Blanco,Verde,Azul,Rojo,Cian,Amarillo,Magenta,,,
,31fr,,Comme Diffusé,Noir,Blanc,Vert,Bleu,Rouge,Cyan,Jaune,Magenta,,,
L_CLOSED_CAPTION_OPACITY,32,TV,As Broadcast,Solid,Translucent,Transparent,Flashing,,,,,,,
,32es,,Según Difusión,Sólido,Translúcido,Transparente,Parpadeando,,,,,,,
,32fr,,Comme Diffusé,Plein,Translucide,Transparent,Clignotant,,,,,,,
L_CLOSED_CAPTION_TEXT_EDGES,33,TV,As Broadcast,None,Raised,Depressed,Uniform,Drop Shadow,,,,,,
,33es,,Según Difusión,Ninguno,Abultado,Plano,Uniforme,Sombreado,,,,,,
,33fr,,Comme Diffusé,Aucun,Relevés,Abaissés,Uniformes,Ombre Portée,,,,,,
L_DEVICE_TYPES,34,TV,HDMI-x,Blu-ray,Cable Box,Computer,DVD,DVR,Game,Satellite,VCR,Audio System ,,
,34es,,HDMI-x,Blu-ray,Caja de Cable,Computadora,DVD,DVR,Juego,Satélite,VCR,Sistema de Audio,,
,35fr,,HDMI-x,Blu-ray,Décodeur,Ordinateur,DVD,DVR,Jeu,Satellite,VCR,Système Audio,,
L_NETWORK_TYPES,35,Both,Ethernet,Wi-Fi,,,,,,,,,,
,35es,,Ethernet,Wi-Fi,,,,,,,,,,
,35fr,,Ethernet,Wi-Fi,,,,,,,,,,
L_NETWORK_STATUS,36,Both,Connected,Disconnected,,,,,,,,,,
,36es,,Conectado,Desconectado,,,,,,,,,,
,36fr,,Connecté,Déconnecté,,,,,,,,,,
L_NETWORK_CONN_TYPES,36,TV,,,,,,,,,,,,
L_TIMEZONES,37,TV,Hawaii (-10),Alaska (-9),Pacific (-8),Mountain (-7),Arizona (-7),Central (-6),Indiana (-5),Eastern (-5),Atlantic (-4),Newfoundland (-3.5),London (0),Guam (+10)
,37es,,Hawai (-10),Alaska (-9),Pacífico (-8),Montaña (-7),Arizona (-7),Centro (-6),Indiana (-5),Este (-5),Atlántico (-4),Terranova (-3.5),Londres (0),Guam (+10)
,37fr,,Hawaii (-10),Alaska (-9),Pacifique (-8),Rocheuses (-7),Arizona (-7),Central (-6),Indiana (-5),Côte Est (-5),Atlantique (-4),Terre-Neuve (-3.5),Londres (0),Guam (+10)
